Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2005-12-21,Lecce,Lazio,0,0,D,0,0,D,11.0,4.0,2.0,2.0,22.0,15.0,5.0,5.0,2,3,1,0
2005-12-21,Livorno,Milan,0,3,A,0,1,A,6.0,17.0,2.0,11.0,11.0,18.0,5.0,5.0,1,0,0,0
2005-12-21,Messina,Reggina,1,1,D,1,0,H,6.0,13.0,1.0,5.0,21.0,22.0,1.0,5.0,5,1,0,1
2005-12-21,Parma,Cagliari,1,0,H,1,0,H,5.0,7.0,4.0,1.0,21.0,19.0,3.0,8.0,3,3,0,0
2005-12-21,Roma,Chievo,4,0,H,2,0,H,12.0,7.0,6.0,3.0,21.0,11.0,1.0,8.0,1,2,0,1
2005-12-21,Udinese,Sampdoria,2,0,H,0,0,D,19.0,8.0,7.0,5.0,21.0,19.0,5.0,5.0,2,2,0,0
2006-01-07,Palermo,Juventus,1,2,A,1,2,A,12.0,13.0,6.0,6.0,20.0,25.0,7.0,6.0,2,2,0,0
2006-01-07,Reggina,Fiorentina,1,1,D,1,1,D,6.0,6.0,3.0,3.0,26.0,28.0,4.0,4.0,2,3,0,0
2006-01-08,Cagliari,Udinese,2,1,H,1,1,D,5.0,6.0,4.0,2.0,16.0,18.0,3.0,1.0,3,3,0,2
2006-01-08,Chievo,Lecce,3,1,H,1,1,D,16.0,15.0,11.0,7.0,19.0,22.0,4.0,10.0,1,4,0,0
2006-01-08,Empoli,Messina,1,3,A,1,1,D,8.0,9.0,3.0,5.0,17.0,24.0,1.0,2.0,2,4,1,0
2006-01-08,Lazio,Ascoli,4,1,H,2,1,H,13.0,11.0,8.0,5.0,17.0,15.0,5.0,3.0,1,1,0,0
2006-01-08,Milan,Parma,4,3,H,3,1,H,20.0,9.0,9.0,6.0,15.0,21.0,5.0,3.0,1,2,0,0
2006-01-08,Sampdoria,Livorno,0,2,A,0,1,A,9.0,6.0,6.0,3.0,19.0,20.0,4.0,7.0,1,1,1,0
2006-01-08,Siena,Inter,0,0,D,0,0,D,6.0,13.0,0.0,4.0,37.0,15.0,5.0,5.0,2,2,0,0
2006-01-08,Treviso,Roma,0,1,A,0,1,A,10.0,12.0,3.0,4.0,20.0,25.0,6.0,5.0,1,2,0,0
2006-01-14,Lecce,Sampdoria,0,3,A,0,2,A,12.0,17.0,5.0,9.0,16.0,19.0,6.0,5.0,2,2,0,0
2006-01-14,Messina,Palermo,0,0,D,0,0,D,4.0,6.0,1.0,2.0,15.0,12.0,6.0,3.0,1,1,0,0
2006-01-15,Ascoli,Empoli,3,1,H,1,1,D,12.0,9.0,7.0,4.0,19.0,20.0,7.0,3.0,2,5,0,1
2006-01-15,Fiorentina,Chievo,2,1,H,1,0,H,12.0,8.0,4.0,3.0,18.0,28.0,6.0,3.0,2,3,0,0
2006-01-15,Inter,Cagliari,3,2,H,2,1,H,11.0,7.0,5.0,4.0,14.0,23.0,5.0,2.0,2,4,0,0
2006-01-15,Juventus,Reggina,1,0,H,1,0,H,22.0,3.0,13.0,0.0,16.0,23.0,7.0,2.0,0,2,0,0
2006-01-15,Livorno,Siena,2,2,D,1,1,D,7.0,11.0,4.0,9.0,23.0,20.0,7.0,5.0,2,1,0,0
2006-01-15,Parma,Lazio,1,1,D,1,1,D,6.0,10.0,3.0,3.0,27.0,17.0,10.0,5.0,2,3,0,0
2006-01-15,Roma,Milan,1,0,H,0,0,D,12.0,9.0,6.0,3.0,17.0,14.0,5.0,10.0,1,2,0,0
2006-01-15,Udinese,Treviso,2,2,D,1,1,D,6.0,13.0,4.0,7.0,16.0,15.0,2.0,3.0,3,2,0,0
2006-01-18,Cagliari,Siena,1,0,H,0,0,D,13.0,11.0,5.0,4.0,20.0,22.0,9.0,4.0,1,3,0,0
2006-01-18,Chievo,Juventus,1,1,D,1,1,D,3.0,10.0,1.0,4.0,22.0,23.0,2.0,10.0,4,2,0,0
2006-01-18,Empoli,Udinese,1,1,D,0,0,D,17.0,6.0,10.0,3.0,23.0,23.0,3.0,5.0,1,2,0,0
2006-01-18,Lecce,Livorno,0,0,D,0,0,D,16.0,5.0,8.0,2.0,18.0,28.0,6.0,3.0,4,2,1,0
2006-01-18,Messina,Lazio,1,1,D,1,0,H,17.0,6.0,9.0,5.0,23.0,23.0,2.0,4.0,2,4,0,0
2006-01-18,Milan,Ascoli,1,0,H,1,0,H,11.0,5.0,5.0,2.0,17.0,14.0,9.0,4.0,1,2,0,0
2006-01-18,Palermo,Parma,4,2,H,1,2,A,15.0,10.0,9.0,7.0,18.0,19.0,6.0,2.0,4,3,0,0
2006-01-18,Roma,Reggina,3,1,H,1,0,H,13.0,10.0,7.0,4.0,29.0,13.0,8.0,4.0,2,4,0,0
2006-01-18,Sampdoria,Fiorentina,3,1,H,3,1,H,10.0,6.0,8.0,3.0,28.0,24.0,4.0,5.0,2,3,0,0
2006-01-18,Treviso,Inter,0,1,A,0,1,A,11.0,11.0,5.0,6.0,19.0,22.0,2.0,4.0,2,3,0,0
